id,pop
1,11360
2,8618
3,16003
4,42361
5,12814
6,23690
7,11703
8,20070
9,25846
10,21208
11,3370
12,72423
13,29847
14,16754
15,12954
16,6405
17,37758
18,41198
19,22382
20,14478
21,7625
22,41202
23,29076
25,28538
26,8272
27,18256
28,7188
29,20492
30,42894
31,16405
32,36599
33,5260
34,26717
35,7636
36,10719
37,10994
38,5637
39,12111
40,15634
41,13147
43,22210
44,7863
45,15543
46,12063
47,23309
48,28896
49,40336
51,52042
52,39651
53,6668
54,5266
55,26994
56,12477
57,22563
58,14204
59,50479
60,12264
61,10103
62,29571
63,14919
64,23184
65,18398
66,23450
67,19331
68,8848
69,27949
70,10155
72,36982
73,41689
74,76044
75,13215
76,25970
77,3765
78,13747
79,12936
80,8815
81,18370
82,30947
83,6715
84,27236
85,8409
86,7529
87,7192
89,12790
90,10486
91,14432
92,11072
93,50940
94,14665
95,1342
96,42494
97,17775
98,39446
99,3130
100,18587
101,33427
102,23004
103,47277
104,19114
105,2117
106,4298
107,11964
108,14505
109,27598
110,32158
111,28770
112,33628
113,8421
114,45518
115,37952
116,20645
117,15378
118,61617
